lesson_kind;abbreviation;topic;date_plan;comments
LK;ЛК1;Введение в веб-разработку (ЛК);11.02.2020;
PR;ПР1;HTML5 (ЛК);12.02.2020;
PR;ПР2;HTML5 (ПР);19.02.2020;
LK;ЛК2;git и github (ЛК);25.02.2020;
PR;ПР3;git и github (ПР);26.02.2020;
PR;ПР4;Основы CSS3 (ЛК);04.03.2020;
LK;ЛК3;Основы CSS3 (ПР);10.03.2020;
PR;ПР5;Основы CSS3 (ПР);11.03.2020;
PR;ПР6;Верстка в CSS (Flexbox, Grid, медиазапросы). Препроцессор SCSS (ЛК);18.03.2020;
LK;ЛК4;Верстка в CSS (Flexbox, Grid, медиазапросы). Препроцессор SCSS (ПР);24.03.2020;
PR;ПР7;Верстка в CSS (Flexbox, Grid, медиазапросы). Препроцессор SCSS (ПР);25.03.2020;
PR;ПР8;Принципы веб-дизайна. Фреймворк Bootstrap (ЛК);01.04.2020;
LK;ЛК5;Фреймворк Bootstrap (ПР);07.04.2020;
PR;ПР9;Разработка технического задания (РГР1);08.04.2020;
PR;ПР10;Разработка макета (РГР1);15.04.2020;
LK;ЛК6;Разработка макета (РГР1);21.04.2020;
PR;ПР11;Разработка макета (РГР1);22.04.2020;
PR;ПР12;Основы поисковой оптимизации (ЛК);29.04.2020;
LK;ЛК7;Графика в Web (ПР);05.05.2020;
PR;ПР13;Wordpress (ПР);06.05.2020;
PR;ПР14;Wordpress (ПР);13.05.2020;
LK;ЛК8;Верстка сайта (РГР2);19.05.2020;
PR;ПР15;Верстка сайта (РГР2);20.05.2020;
PR;ПР16;Верстка сайта (РГР2);27.05.2020;
