lesson_kind;abbreviation;topic;date_plan;comments
LB;ЛБ1;ЛБ1 Расчет верхнего строения пути на прочность;07.02.2020;
LB;ЛБ2;ЛБ1 Расчет верхнего строения пути на прочность;14.02.2020;
LB;ЛБ3;ЛБ2 Расчет устойчивости земляного полотна методом Г.М. Шахунянца;21.02.2020;
LB;ЛБ4;ЛБ2 Расчет устойчивости земляного полотна методом Г.М. Шахунянца;28.02.2020;
LB;ЛБ5;РГР1 Построение расчетной схемы насыпи;06.03.2020;
LB;ЛБ6;РГР1 Расчет напряженно-деформированного состояния железнодорожной насыпи методом конечных элементов;13.03.2020;
LB;ЛБ7;РГР1 Расчет напряженно-деформированного состояния насыпи методом конечных элементов при изменении геометрии расчетной области;20.03.2020;
LB;ЛБ8;РГР1 Расчет устойчивости железнодорожной насыпи методом конечных элементов;27.03.2020;
LB;ЛБ9;РГР1 Расчет устойчивости железнодорожной насыпи методом конечных элементов;03.04.2020;
LB;ЛБ10;РГР1 Расчет устойчивости железнодорожной насыпи с учетом бермы;10.04.2020;
LB;ЛБ11;РГР1 Расчеты железнодорожной насыпи с учетом армирующей прослойки;17.04.2020;
LB;ЛБ12;РГР1 Расчеты железнодорожной насыпи с учетом армирующей прослойки;24.04.2020;
LB;ЛБ13;ЛБ3 Поиск подземных коммуникаций методом георадиолокации;01.05.2020;
LB;ЛБ14;ЛБ3 Поиск подземных коммуникаций методом георадиолокации;08.05.2020;
LB;ЛБ15;ЛБ4 Определение границ раздела сред методом георадиолокации;15.05.2020;
LB;ЛБ16;ЛБ4 Определение границ раздела сред методом георадиолокации;22.05.2020;
