task_kind;abbreviation;topic;deadline;task_coef;comments
LB;ЛБ1;Расчет верхнего строения пути на прочность;15.02.2020;10;
LB;ЛБ2;Расчет устойчивости земляного полотна методом Г.М. Шахунянца;29.02.2020;10;
LB;ЛБ3;Поиск подземных коммуникаций методом георадиолокации;09.05.2020;10;
LB;ЛБ4;Определение границ раздела сред методом георадиолокации;23.05.2020;10;
SECTION;РГР1_ч1;GenIDE. Формирование расчетной схемы;28.03.2020;10;
SECTION;РГР1_ч2;GenIDE. Расчет НДС;28.03.2020;10;
SECTION;РГР1_ч3;GenIDE. Моделирование возведения насыпи;11.04.2020;10;
SECTION;РГР1_ч4;GenIDE. Расчет устойчивости;11.04.2020;10;
SECTION;РГР1_ч5;GenIDE. Берма;25.04.2020;10;
SECTION;РГР1_ч6;GenIDE. Армирующая прослойка;09.05.2020;10;
RGR;РГР1;GenIDE;09.05.2020;10;
